legislation_number,sponsor,party_of_sponsor,date_of_introduction,congress,state
H.R. 14295,"Fascell, Dante B. [Rep.-D-FL-15]",Democratic,10/12/1978,95,FL
H.R. 14279,"St Germain, Fernand J. [Rep.-D-RI-01]",Democratic,10/10/1978,95,RI
H.R. 14224,"Nolan, Richard M. [Rep.-D-MN-06]",Democratic,10/04/1978,95,MN
H.R. 14223,"Madigan, Edward R. [Rep.-R-IL-21]",Republican,10/04/1978,95,IL
H.R. 14145,"Kastenmeier, Robert W. [Rep.-D-WI-02]",Democratic,09/21/1978,95,WI
H.R. 14026,"Johnson, James P. (Jim) [Rep.-R-CO-04]",Republican,09/08/1978,95,CO
H.R. 13991,"Johnson, Harold T. [Rep.-D-CA-01]",Democratic,09/06/1978,95,CA
H.R. 13989,"de la Garza, E. [Rep.-D-TX-15]",Democratic,09/06/1978,95,TX
H.R. 13972,"Udall, Morris K. [Rep.-D-AZ-02]",Democratic,08/17/1978,95,AZ
H.R. 13903,"Stratton, Samuel S. [Rep.-D-NY-28]",Democratic,08/16/1978,95,NY
H.R. 13892,"Kastenmeier, Robert W. [Rep.-D-WI-02]",Democratic,08/16/1978,95,WI
H.R. 13809,"Roberts, Ray [Rep.-D-TX-04]",Democratic,08/09/1978,95,TX
H.R. 13808,"Roberts, Ray [Rep.-D-TX-04]",Democratic,08/09/1978,95,TX
H.R. 13803,"Duncan, Robert B. [Rep.-D-OR-03]",Democratic,08/09/1978,95,OR
H.R. 13797,"Skubitz, Joe [Rep.-R-KS-05]",Republican,08/08/1978,95,KS
H.R. 13767,"Burton, John [Rep.-D-CA-05]",Democratic,08/07/1978,95,CA
H.R. 13745,"Murphy, John M. [Rep.-D-NY-17]",Democratic,08/04/1978,95,NY
H.R. 13702,"Burton, Phillip [Rep.-D-CA-06]",Democratic,08/02/1978,95,CA
H.R. 13692,"Dickinson, William L. [Rep.-R-AL-02]",Republican,08/02/1978,95,AL
H.R. 13650,"Udall, Morris K. [Rep.-D-AZ-02]",Democratic,07/28/1978,95,AZ
H.R. 13635,"Mahon, George H. [Rep.-D-TX-19]",Democratic,07/27/1978,95,TX
H.R. 13597,"Mineta, Norman Y. [Rep.-D-CA-13]",Democratic,07/25/1978,95,CA
H.R. 13514,"Breaux, John B. [Rep.-D-LA-07]",Democratic,07/18/1978,95,LA
H.R. 13511,"Ullman, Al [Rep.-D-OR-02]",Democratic,07/18/1978,95,OR
H.R. 13500,"Preyer, Richardson [Rep.-D-NC-06]",Democratic,07/17/1978,95,NC
H.R. 13481,"Emery, David F. [Rep.-R-ME-01]",Republican,07/14/1978,95,ME
H.R. 13468,"Natcher, William H. [Rep.-D-KY-02]",Democratic,07/13/1978,95,KY
H.R. 13467,"Mahon, George H. [Rep.-D-TX-19]",Democratic,07/13/1978,95,TX
H.R. 13418,"Smith, Neal Edward [Rep.-D-IA-04]",Democratic,07/11/1978,95,IA
